N,replicate,jobs,oracle_cost,tpr_cost,gap_per_household,zero_zone_fraction,coordinator_margin_min,min_household_saving,runtime_seconds
25,11,44,-468.4664998761952,-468.46649987619526,0.0,0.0,-2.6645352591003757e-15,0.0,0.009632841683924198
25,12,40,-499.03452061288624,-499.0345206128862,2.2737367544323206e-15,0.0,-2.6645352591003757e-15,0.0,0.0092854555696249
25,13,42,-474.4007145994802,-474.4007145994801,2.2737367544323206e-15,0.0,-1.7763568394002505e-15,0.0,0.009264274500310421
25,14,36,-514.5425184403737,-514.5425184403738,0.0,0.0,-3.552713678800501e-15,0.0,0.008794439025223255
25,15,41,-482.00758900995993,-482.00758900995993,0.0,0.0,-2.220446049250313e-15,0.6788748831509324,0.00928474497050047
30,0,56,-550.1693676416897,-550.1693676416899,0.0,0.0,-5.329070518200751e-15,0.0,0.011027018539607525
30,1,61,-543.8519041289509,-543.8519041289508,3.789561257387201e-15,0.0,-3.552713678800501e-15,0.3723605509362784,0.011478614993393421
30,2,53,-564.496689111403,-564.496689111403,0.0,0.0,-3.552713678800501e-15,0.0,0.010524102486670017
30,3,51,-584.406460675198,-584.4064606751982,0.0,0.0,-3.552713678800501e-15,0.0,0.010504323057830334
30,4,48,-592.067926367651,-592.0679263676511,0.0,0.0,-3.552713678800501e-15,0.0,0.010274136438965797
30,5,45,-666.8350605576461,-666.8350605576461,0.0,0.0,-4.440892098500626e-15,0.0,0.00967584177851677
30,6,56,-524.7157914222853,-524.7157914222853,0.0,0.010416666666666666,-3.552713678800501e-15,0.0,0.011192826554179192
30,7,54,-576.0384154980904,-576.0384154980903,3.789561257387201e-15,0.0,-2.6645352591003757e-15,0.0,0.010587703436613083
30,8,54,-599.3396933098167,-599.3396933098168,0.0,0.0,-3.552713678800501e-15,0.0,0.010718771256506443
30,9,60,-557.410017912279,-557.410017912279,0.0,0.0,-4.440892098500626e-15,0.0,0.011264186352491379
30,10,48,-623.1562738562817,-623.1562738562819,0.0,0.0,-3.552713678800501e-15,0.0,0.010096818208694458
30,11,52,-567.0141514306138,-567.0141514306137,3.789561257387201e-15,0.0,-3.552713678800501e-15,0.0,0.010378695093095303
30,12,57,-569.5959374933285,-569.5959374933284,3.789561257387201e-15,0.0,-3.552713678800501e-15,0.0,0.011031068861484528
30,13,47,-612.2656385857587,-612.2656385857586,3.789561257387201e-15,0.0,-7.105427357601002e-15,0.0,0.009932967834174633
30,14,59,-533.7510592680991,-533.751059268099,3.789561257387201e-15,0.0,-3.552713678800501e-15,0.0,0.011297137476503849
